Open Dataset ID,Dataset Name / Title,Agency,Posting Frequency,Description,Status,Plan submission date,NYS URL,Catalog Category,Plan submission date notes
143,MTA Bus System Fleet Age: Beginning 2015,Bus,Monthly,"This dataset provides the monthly legacy service indicators that characterize the age of MTA's bus fleet, broken down by agency (NYC Transit and MTA Bus Company).",Published,Complete,https://data.ny.gov/d/kf6s-w5a7,1. Operational metrics and data,
144,MTA Bus Schedules,Bus,TBD,"This dataset includes data for all bus schedules since February 3, 2013. It includes rows for each scheduled stop on a trip.",Planned,Q4 2024,,1. Operational metrics and data,
145,MTA Subway Schedules,Subway,TBD,This dataset includes data for all subway schedules since 2018-both the base schedule and the supplement schedule in effect. It includes rows for each scheduled stop on a trip.,Planned,Q4 2024,,1. Operational metrics and data,
148,MTA NYCT Paratransit Registrants: Beginning 2018,AAR,Monthly,Reflects the total number of registrants for paratransit service by borough/county per month.,Published,Complete,https://data.ny.gov/d/cxps-6wkq,2. System usage,
149,MTA Subway Trains Delayed: Beginning 2020,Subway,Monthly,"This dataset reflects the number and percentage of subway trains delayed per weekday based on scheduled service, broken down into specific delay categories.",Published,Complete,https://data.ny.gov/d/wx2t-qtaz,1. Operational metrics and data,
150,MTA NYCT Paratransit Drop-off On-Time Performance: 2016 - 2019 (Archived Methodology),AAR,Static - Not Updated,"Drop-off On-Time Performance (OTP) measures the quality of provider service, comparing actual to customer-requested drop-off time for trips scheduled with an appointment time. Trips are considered on-time if they are no more than 30 minutes early, and no later than the appointment time.",Published,Complete,https://data.ny.gov/d/rmfq-74ji,1. Operational metrics and data,
152,MTA Subway 4 to 5 Minute Late Arriving Trains,Subway,Monthly,This dataset shows the number and percentage of trains arriving at their scheduled terminals between four and five minutes after their scheduled arrival times.,Planned,Q3 2024,,1. Operational metrics and data,
154,MTA Subway End-to-End Running Times,Subway,Monthly,"This dataset provides information on the actual end-to-end running times for subway trips between their origin and destination stations, including the average, and 25th, 50th, and 75th percentile running times in minutes, along with the scheduled end-to-end running time for these trips.  

 

Data is available for a combination of each month, day type (Weekday, Saturday, Sunday), time period (AM Peak, Midday, PM Peak, Evening, Overnight), subway line, path_id (each distinct set of subway stops made by trains), direction, origin station, destination station, distance in miles, and number of stops made by the actual subway trips, and the number in the subway schedule.",Planned,Q1 2024,,1. Operational metrics and data,
155,MTA Subway Delay-Causing Incidents,Subway,Monthly,"This dataset presents the number of subway incidents that caused train delays, broken down by line, day type (weekday/weekend), and specific delay category and subcategory.",Planned,Q1 2024,,1. Operational metrics and data,
156,MTA Bus Lane Enforcement Violations,Bus,TBD,Provides statistics of violations issued by MTA's bus-mounted Automated Bus Lane Enforcement (ABLE) camera systems.,Planned,Q2 2024,,1. Operational metrics and data,
157,MTA 2025-2044 Twenty-Year Needs Assessment Railcar Fleet Inventory,C&D,Static - Not Updated,"The 2025-2044 20-Year Needs Assessment outlines capital work the MTA needs to do over the next two decades to keep the region moving. The MTA developed a three-part plan to secure the foundation of the system and ensure another 100 years of service by reconstructing, renewing, and modernizing the system. This dataset includes data on all revenue fleets, except for cars and locomotives used for Metro-North service owned by New Jersey Transit and the Connecticut Department of Transportation that are used in pooled service. The dataset, for each fleet asset, includes the fleet type, its number of units, its useful life, and the years its cars were first and last accepted.",Published,Complete,https://data.ny.gov/d/hjck-ty8r,7. Capital program,
158,MTA 2025-2044 Twenty-Year Needs Assessment Asset Conditions,C&D,Static - Not Updated,"The 2025-2044 20-Year Needs Assessment is a broad, comprehensive blueprint that outlines the MTA region's transportation capital needs for the next generation. It provides an extensive, long-term view based upon rigorous data analysis across all the MTA agencies. The MTA developed a three-part plan to for the next 20 years to achieve the transit network New Yorkers deserve. It is based on three fundamental ideas: rebuild the foundation of the system to ensure its survival, improve our network to meet 21st century needs, and expand to support future growth. This dataset includes data on the conditions of most assets in the MTA system.",Published,Complete,https://data.ny.gov/d/qsdd-gb3s,7. Capital program,
159,MTA Bridges & Tunnels Safety Indicators: Beginning 2018,B&T,Monthly,"Presents leading Roadway Safety indicators, including workforce development, fleet preventative maintenance and safety taskforce inspection numbers, as well as Fire Safety indicators, including total number of fire code audits and FDNY liaison visits.",Published,Complete,https://data.ny.gov/d/7h37-mvq2,4. Safety / security,
161,MTA Bridges & Tunnels Daily E-ZPass Usage Rate by Vehicle Class: 2005-2023,B&T,Monthly,"This dataset provides data showing the number of vehicles (including cars, buses, trucks and motorcycles) that pass through each of the nine bridges and tunnels operated by the MTA each day.",Published - enhancements planned,Q3 2024,https://data.ny.gov/d/vf6y-3my4,2. System usage,
162,MTA Bridges & Tunnels Daily Traffic Rates by Vehicle Class: 2005-2023,B&T,Monthly,"This dataset provides data showing the number of vehicles (including cars, buses, trucks and motorcycles) that pass through each of the nine bridges and tunnels operated by the MTA each day.",Published - enhancements planned,Q3 2024,https://data.ny.gov/d/dtj7-qync,2. System usage,
163,MTA Service Alerts: Beginning April 2020,"Subway,Bus,LIRR,MNR,B&T",Monthly,"Service alerts in the MTA system are generated to inform passengers of both scheduled and unscheduled events that affect the transit network. These events can range from planned maintenance and construction activities to unexpected incidents such as accidents, track maintenance or planned work and more. The process of creating alerts involves the continuous monitoring of the transit system, including station locations, track statuses, and external factors that might impact service. When a potential disruption is identified, an alert is generated to provide passengers with timely and accurate information about how their travel might be affected.",Published,Complete,https://data.ny.gov/d/7kct-peq7,11. Miscellaneous,
164,MTA NYCT Customer Engagement Statistics: 2017-2022,"Subway,Bus",Static - Not Updated,This dataset provided statistics and performance metrics about the volume and responsiveness in engaging with customers via several customer engagement channels. Data was provided for New York City Transit Subway and Bus customer engagement and customer service teams between May 2017 and May 2022.,Published,Complete,https://data.ny.gov/d/6xy8-yzzu,8. Customer Feedback and Surveys,
165,MTA 2025-2044 Twenty-Year Needs Assessment Comparative Evaluation,C&D,Static - Not Updated,"The 2025-2044 20-Year Needs Assessment Comparative Evaluation is a framework which assesses the costs and benefits of potential expansions and enhancements. All potential projects are evaluated using a consistent set of models, tools, and criteria including ridership, time savings, network resilience and sustainability, capacity, equity, network leverage, geographic distribution, and cost. The most promising projects may be advanced for further study and possible inclusion in future capital plans. To view the full comparative evaluation and further details on the methodology, visit future.mta.info.",Published,Complete,https://data.ny.gov/d/q43a-ygsk,7. Capital program,
166,MTA 2025-2044 Twenty-Year Needs Assessment Police Fleet Inventory,C&D,Static - Not Updated,"The 2025-2044 20-Year Needs Assessment outlines capital work the MTA needs to do over the next two decades to keep the region moving. The MTA developed a three-part plan to secure the foundation of the system and ensure another 100 years of service by reconstructing, renewing, and modernizing the system. This dataset includes data on the fleet inventory for MTA Police, with information on the number of units for each asset type, the useful life of each type, the year the assets were built, and number of years of remaining useful life. It includes all vehicles used by the MTA Police Department that are eligible for capital funding.",Published,Complete,https://data.ny.gov/d/vubw-ein5,7. Capital program,
167,MTA 2025-2044 Twenty-Year Needs Assessment Bus Fleet Inventory,C&D,Static - Not Updated,"The 2025-2044 20-Year Needs Assessment outlines capital work the MTA needs to do over the next two decades to keep the region moving. The MTA developed a three-part plan to secure the foundation of the system and ensure another 100 years of service by reconstructing, renewing, and modernizing the system. This dataset includes data on all revenue bus fleets and does not include data on Access-A-Ride paratransit vehicles. For each fleet type (standard, articulated, express), and power source (Zero Emissions, or Any Type, which includes both Zero Emissions and non-Zero Emission buses), there is data for the number of buses, their useful lives, and the percent of buses beyond their useful lives. The dataset also includes the number of buses planned to be ordered in the 2025Ð2029, 2030Ð2034, 2035Ð2039, and 2040Ð2044 capital programs by type and power source.",Published,Complete,https://data.ny.gov/d/pssf-s7fa,7. Capital program,
168,MTA Subway Origin-Destination Ridership Estimates: 2023,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Published,Complete,https://data.ny.gov/d/uhf3-t34z,2. System usage,
169,MTA Subway Origin-Destination Ridership Estimates: 2022,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
170,MTA Subway Origin-Destination Ridership Estimates: 2021,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
171,MTA Subway Origin-Destination Ridership Estimates: 2020,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
172,MTA Subway Origin-Destination Ridership Estimates: 2019,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
173,MTA Subway Origin-Destination Ridership Estimates: 2018,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
174,MTA Subway Origin-Destination Ridership Estimates: 2017,Subway,Static - Not Updated,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Planned,Q3 2024,,2. System usage,
202,MTA NYCT Transit Adjudication Bureau Subway and Bus Violations,"Subway,Bus",TBD,"Provides statistics on the violations issued and fines paid, as processed by the NYCT Transit Adjudication Bureau (TAB). TAB processes summons issued for violations of one or more of the rules governing conduct in the New York City Transit system.",Planned,Q1 2024,,4. Safety / security,
206,MTA Major Felonies,"LIRR,Subway,Bus,MNR",Monthly,"Major felonies reflect the count of arrests made in relation to seven major felony offenses within the MTA system. These offenses are classified as murder, rape, robbery, felony assault, burglary, grand larceny, and grand larceny auto.",Published,Complete,https://data.ny.gov/d/yeek-jhmu,4. Safety / security,
247,MTA Subway and Bus Lost Time Accidents: Beginning 2021,"Subway,Bus",Monthly,"The number of reportable job-related incidents that result in the inability of an employee to perform full job duties for at least one working day beyond the day of the incident, as well as a breakdown of the number of Employees and Lost Time Accident Rates.",Published,Complete,https://data.ny.gov/d/8vjt-4zv4,4. Safety / security,
248,MTA Open Data Catalog and Publication Schedule,HQ,Quarterly,A list of datasets that MTA currently shares and plans to share on data.ny.gov.,Published,Complete,https://data.ny.gov/d/f462-ka72,11. Miscellaneous,
249,MTA Metro-North Service Delivered: Beginning January 2019,MNR,Monthly,"Service Delivered measures our ability to deliver the amount scheduled service and capacity versus actual service. It details the number of trains that actually ran, and the number of trains that were canceled or terminated.",Published,Complete,https://data.ny.gov/d/jt9p-47ua,1. Operational metrics and data,
250,MTA Metro-North Mean Distance Between Failures: Beginning 2018,MNR,Monthly,Mean Distance Between Failures represents the number of miles a rail car travels before a mechanical failure makes the train arrive at its final destination more than 5 minutes and 59 seconds later than scheduled. This measures the reliability of equipment in revenue service.,Published,Complete,https://data.ny.gov/d/4qd6-ptxx,1. Operational metrics and data,
251,MTA Metro-North On-Time Performance: Beginning 2020,MNR,Monthly,On-Time Performance (OTP) determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time.,Published,Complete,https://data.ny.gov/d/83hw-i6xw,1. Operational metrics and data,
252,MTA Metro-North Service Reliability: Beginning 2020,MNR,Monthly,"Service Reliability metrics evaluate MNRÕs ability to deliver timely and effective service to its customers. Included in these metrics are: Service Type, Major Incidents, 4m to 6m Train Delays, Average Delay per Late Train, Number of Trains Over 15 Minutes Late, Number of Short Trains.",Published,Complete,https://data.ny.gov/d/sguy-yhj4,1. Operational metrics and data,
253,MTA Metro-North Elevator and Escalator Availability: Beginning 2021,MNR,Monthly,The percent of the time that elevators and escalators are operational systemwide.,Published,Complete,https://data.ny.gov/d/ax67-8386,3. Accessibility,
254,MTA Metro-North Safety and Grade Crossing Incidents: Beginning 2019,MNR,Monthly,"This dataset includes the following safety metrics: customer accident rate, grade crossing incidents, train derailments, train collisions, lost time accident rate, lost time injury rate, employee lost time days.",Published,Complete,https://data.ny.gov/d/v7rp-a6ru,4. Safety / security,
255,MTA Metro-North Safety Indicators: Beginning 2019,MNR,Monthly,"This dataset provides information on various indicators of safety measured by Metro-North Railroad. The indicators are a combination of preventative measures taken to prevent unsafe incidents, as well as occurrences of unsafe incidents.",Published,Complete,https://data.ny.gov/d/9eva-t3dx,4. Safety / security,
256,MTA Metro-North Delays: Beginning 2012,MNR,Monthly,"This dataset lists all causes of delays on Metro-North that results in a train is cancelled, terminated, substituted by bus service, or late (in a rounded number of minutes). The specific delay cause category, the train number, and the branch the train operates on are also provided.",Published,Complete,https://data.ny.gov/d/tgiq-jafi,1. Operational metrics and data,
257,MTA Metro-North Delay Verification: Beginning 2012,MNR,Daily,"This dataset lists all Metro-North trains that are delayed, defined as those that are canceled, terminated, substituted by bus service during unplanned circumstances, or arrive at their destination with a delay of a specified number of minutes, the train number, and the branch the train operates on.",Published,Complete,https://data.ny.gov/d/crxu-7hda,1. Operational metrics and data,
258,MTA Subway and Bus Mask Compliance Statistics: 2020 - 2022,"Subway,Bus",Static - Not Updated,"This dataset provides subway and bus mask compliance statistics from MTA surveys that took place between June 2020 and April 2022. It provides the number of observations in each survey, and the percentages for the number of people with no mask, wearing a mask, wearing a mask incorrectly, and wearing a mask correctly.",Published,Complete,https://data.ny.gov/d/ijxr-nffj,11. Miscellaneous,
260,MTA Key Performance Indicators: 2008-2021,"Subway,Bus,AAR,LIRR,MNR,B&T",Static - Not Updated,This dataset combines Key Performance Indicator data that was reported starting with the creation of the MTA Stat performance metric dashboard in 2008 through 2021. Most of the metrics in the dataset available elsewhere on the open data portal.,Published,Complete,https://data.ny.gov/d/cy9b-i9w9,1. Operational metrics and data,
261,MTA Bus Customer Journey-Focused Metrics: Beginning 2020,Bus,Monthly,"Measures the quality of the customer experience based on several bus journey-focused metrics, including the estimated average extra time that customers spend waiting at a bus stop or onboard a bus, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.",Published,Complete,https://data.ny.gov/d/wrt8-4b59,1. Operational metrics and data,
262,MTA Bus Wait Assessment: Beginning 2020,Bus,Monthly,Wait Assessment measures how evenly buses are spaced.,Published,Complete,https://data.ny.gov/d/swky-c3v4,1. Operational metrics and data,
263,MTA Bus Service Delivered: Beginning 2020,Bus,Monthly,Service Delivered measures the percentage of scheduled buses that are actually provided during peak hours.,Published,Complete,https://data.ny.gov/d/2e6s-9gpm,1. Operational metrics and data,
264,MTA Subway Service Delivered: Beginning 2020,Subway,Monthly,Service Delivered measures the percentage of scheduled trains that are actually provided during peak hours on weekdays (7 AM to 10 AM and 4 PM to 7 PM) and weekends (10 AM to 6 PM) for a given month.,Published,Complete,https://data.ny.gov/d/bg59-42xi,1. Operational metrics and data,
265,MTA Subway Major Incidents: Beginning 2020,Subway,Monthly,"Major Incidents are incidents that delay 50 or more trains, which cause the most disruption to customers.",Published,Complete,https://data.ny.gov/d/j6d2-s8m2,1. Operational metrics and data,
266,MTA Bus Speeds: Beginning 2020,Bus,Monthly,Bus Speeds measure how quickly buses travel along their routes.,Published,Complete,https://data.ny.gov/d/6ksi-7cxr,1. Operational metrics and data,
267,MTA Subway Customer Journey-Focused Metrics: Beginning 2020,Subway,Monthly,"This dataset measures the quality of the rider experience based on several subway journey-focused metrics, including the estimated average extra time that customers spend waiting on the platform or onboard a train, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time. 



Additional Platform Time (APT) is the estimated average extra time that customers spend waiting on the platform for a train, compared with their scheduled wait time.  

  

Additional Train Time (ATT) is the estimated average extra time that customers spend onboard a train, compared to the time they would have spent onboard a train if trains were running according to schedule.  

  

Additional Journey Time (AJT) is the estimated average extra time that customers spend on their journey, compared with the scheduled time. It is the sum of the additional time spent waiting on platforms (APT) and the additional time spent onboard a train (ATT).  

  

Journey Time is the average total time a customer spends on their journey waiting for and riding a specific train line.   

  

Customer Journey Time Performance (CJTP) is the estimated percentage of rider trips that are completed within 5 minutes of their scheduled time.  

  

These measures are estimated for each individual train a customer uses in their journey, also known as an unlinked trip, not all trains in their journey combined.",Published,Complete,https://data.ny.gov/d/4apg-4kt9,1. Operational metrics and data,
268,MTA Subway Wait Assessment: Beginning 2020,Subway,Monthly,Wait Assessment measures how regularly subway trains are spaced during peak hours at selected timepoints on each line.,Published,Complete,https://data.ny.gov/d/6b7q-snec,1. Operational metrics and data,
269,MTA Subway Terminal On-Time Performance: Beginning 2020,Subway,Monthly,Terminal On-Time Performance measures the percentage of subway trains arriving at their destination terminals as scheduled.,Published,Complete,https://data.ny.gov/d/vtvh-gimj,1. Operational metrics and data,
271,MTA Summonses and Arrests: Beginning 2019,"MNR,Subway,Bus,LIRR",Monthly,The number of summonses and arrests made by NYPD or MTAPD for fare evasion and other violations of the rules of conduct of the transit system.,Published,Complete,https://data.ny.gov/d/7tfn-twae,4. Safety / security,
